"varresp_ini";"varresp_fim";"qt_sem_hist";"historico_ini";"historico_fim";"retorno_esp_modelo";"retorno_real"
"30/11/2015";"04/12/2015";14;"24/08/2015";"27/11/2015";0,536495768044879;-2,46686651480498
"30/11/2015";"04/12/2015";13;"31/08/2015";"27/11/2015";0,415698676529499;-2,58998216141816
"30/11/2015";"04/12/2015";12;"07/09/2015";"27/11/2015";0,264838545037061;-2,49136098409267
"30/11/2015";"04/12/2015";11;"14/09/2015";"27/11/2015";-0,068966246885972;-2,57499624402695
"30/11/2015";"04/12/2015";10;"21/09/2015";"27/11/2015";1,025070656521;-2,06800550076946
"30/11/2015";"04/12/2015";9;"28/09/2015";"27/11/2015";-0,108565194281671;-1,48344065900647
"30/11/2015";"04/12/2015";8;"05/10/2015";"27/11/2015";0,0485883191570286;-1,2349174404526
"30/11/2015";"04/12/2015";7;"12/10/2015";"27/11/2015";-0,17373503779635;-1,19958540696749
"30/11/2015";"04/12/2015";6;"19/10/2015";"27/11/2015";0,238027591693584;-1,4461998197388
"30/11/2015";"04/12/2015";5;"26/10/2015";"27/11/2015";0,318106042044151;-0,89582176477384
"30/11/2015";"04/12/2015";4;"02/11/2015";"27/11/2015";0,278086922905172;-0,937803304826895
"30/11/2015";"04/12/2015";3;"09/11/2015";"27/11/2015";-0,297063654142172;-1,13499420363343
"30/11/2015";"04/12/2015";2;"16/11/2015";"27/11/2015";1,87556339515788;-7,95621724026367
"07/12/2015";"11/12/2015";15;"24/08/2015";"04/12/2015";0,0787545136615429;0,928845174612891
"07/12/2015";"11/12/2015";14;"31/08/2015";"04/12/2015";-0,0210645989760849;0,904178191925121
"07/12/2015";"11/12/2015";13;"07/09/2015";"04/12/2015";0,0744222682628979;0,569273173356508
"07/12/2015";"11/12/2015";12;"14/09/2015";"04/12/2015";-0,207607177244548;0,630536697812142
"07/12/2015";"11/12/2015";11;"21/09/2015";"04/12/2015";0,378649048382425;0,515304028255027
"07/12/2015";"11/12/2015";10;"28/09/2015";"04/12/2015";-0,33131137469137;0,381313085914262
"07/12/2015";"11/12/2015";9;"05/10/2015";"04/12/2015";-0,194673204160706;0,120092210429549
"07/12/2015";"11/12/2015";8;"12/10/2015";"04/12/2015";-0,371276328090319;0,0531751414238068
"07/12/2015";"11/12/2015";7;"19/10/2015";"04/12/2015";-0,13824598839397;-0,288266783600521
"07/12/2015";"11/12/2015";6;"26/10/2015";"04/12/2015";0,237764496956566;-1,90101025751299
"07/12/2015";"11/12/2015";5;"02/11/2015";"04/12/2015";0,293185288023441;-1,62495759183994
"07/12/2015";"11/12/2015";4;"09/11/2015";"04/12/2015";-0,356404684298617;0,0403984850495771
"07/12/2015";"11/12/2015";3;"16/11/2015";"04/12/2015";0,310903655960652;-1,47099039444695
"07/12/2015";"11/12/2015";2;"23/11/2015";"04/12/2015";-1,20573309568884;0,931903705064673
"14/12/2015";"18/12/2015";15;"31/08/2015";"11/12/2015";0,11826366262885;1,90081399648115
"14/12/2015";"18/12/2015";14;"07/09/2015";"11/12/2015";0,118208373286666;1,96553079718907
"14/12/2015";"18/12/2015";13;"14/09/2015";"11/12/2015";-0,124499060326693;2,10283031413295
"14/12/2015";"18/12/2015";12;"21/09/2015";"11/12/2015";0,432388775419214;3,90419021963271
"14/12/2015";"18/12/2015";11;"28/09/2015";"11/12/2015";-0,242832751083292;3,8591895552999
"14/12/2015";"18/12/2015";10;"05/10/2015";"11/12/2015";-0,155320995498253;3,66010647430402
"14/12/2015";"18/12/2015";9;"12/10/2015";"11/12/2015";-0,306161719658576;3,53740037898296
"14/12/2015";"18/12/2015";8;"19/10/2015";"11/12/2015";-0,17027844130392;2,91771034512684
"14/12/2015";"18/12/2015";7;"26/10/2015";"11/12/2015";-0,080501490635849;-0,654408128561327
"14/12/2015";"18/12/2015";6;"02/11/2015";"11/12/2015";0,00599559747864957;2,00109589042614
"14/12/2015";"18/12/2015";5;"09/11/2015";"11/12/2015";-0,279210307949237;1,80776565509031
"14/12/2015";"18/12/2015";4;"16/11/2015";"11/12/2015";-0,204786140151035;1,53824031428259
"14/12/2015";"18/12/2015";3;"23/11/2015";"11/12/2015";-0,859458066419835;-0,507440378340045
